RELATÓRIO DE BACKTEST - CRITÉRIO DE KELLY (1/4)
Banca Inicial: 100.00u
Banca Final:   64.67u
Lucro Total:   -35.33u
ROI Total:     -35.33%
============================================================
Semana     | Jogo                 | Aposta | Stake  | Res  | Lucro    | Banca   
2025-W8  | NE vs CLE            | NE    | 0.45u | WIN  |   0.12u | 53.45u
2025-W9  | MIA vs BAL           | MIA   | 2.67u | LOSS |  -2.67u | 50.78u
2025-W9  | NE vs ATL            | NE    | 2.54u | WIN  |   1.02u | 51.79u
2025-W9  | NYG vs SF            | NYG   | 2.45u | LOSS |  -2.45u | 49.35u
2025-W9  | LV vs JAX            | JAX   | 2.47u | WIN  |   1.90u | 51.25u
2025-W9  | WAS vs SEA           | SEA   | 2.56u | WIN  |   1.73u | 52.98u
2025-W10 | IND vs ATL           | IND   | 1.54u | WIN  |   0.50u | 53.47u
2025-W10 | CAR vs NO            | CAR   | 1.03u | LOSS |  -1.03u | 52.44u
2025-W10 | HOU vs JAX           | HOU   | 2.62u | WIN  |   2.50u | 54.94u
2025-W10 | NYJ vs CLE           | NYJ   | 2.54u | WIN  |   2.79u | 57.73u
2025-W10 | TB vs NE             | NE    | 2.83u | WIN  |   3.51u | 61.24u
2025-W11 | MIA vs WAS           | MIA   | 2.58u | WIN  |   1.74u | 62.98u
2025-W11 | JAX vs LAC           | LAC   | 0.97u | LOSS |  -0.97u | 62.01u
2025-W11 | MIN vs CHI           | CHI   | 3.10u | WIN  |   3.84u | 65.85u
2025-W11 | PIT vs CIN           | CIN   | 3.29u | LOSS |  -3.29u | 62.56u
2025-W11 | LA vs SEA            | LA    | 0.16u | WIN  |   0.09u | 62.65u
2025-W11 | LV vs DAL            | DAL   | 3.13u | WIN  |   1.58u | 64.23u
2025-W12 | CHI vs PIT           | CHI   | 0.35u | WIN  |   0.23u | 64.46u
2025-W12 | LA vs TB             | LA    | 0.81u | WIN  |   0.21u | 64.67u
